TransactionID,CustomerAge,TransactionAmount,TransactionTimeHour,NumPrevTransactions,LocationRiskScore,IsFraud
110,41,80.6,22,34,0.19,0
111,28,69.94,22,27,0.41,0
112,68,21.55,5,10,0.73,0
113,34,195.77,0,30,0.97,0
114,25,112.99,7,45,0.81,0
115,52,181.96,0,20,0.94,0
116,52,195.73,18,29,0.14,0
117,50,137.97,10,29,0.07,0
118,22,57.84,20,23,0.56,0
119,59,94.3,23,21,0.29,0
120,56,17.48,14,48,0.83,0
121,58,111.98,22,43,0.67,0
122,45,19.75,10,10,0.97,0
123,24,118.4,18,41,0.25,0
124,26,26.08,20,12,0.49,1
125,25,12.51,9,30,0.5,0
126,29,18.07,23,33,0.24,0
127,51,0.2,11,18,0.59,0
128,50,126.85,0,14,0.44,0
129,65,131.83,23,22,0.45,0
130,40,72.35,6,21,0.36,0
131,41,17.6,16,1,0.02,0
132,54,8.73,9,49,0.52,0
133,52,1.93,5,43,0.34,0
134,61,18.12,16,15,0.0,0
135,57,221.51,17,36,0.31,0
136,39,27.65,4,47,0.28,0
137,44,43.74,17,22,0.39,0
138,52,11.13,16,32,0.13,0
139,18,25.15,21,46,0.51,0
140,52,73.24,15,33,0.69,0
141,54,93.59,7,41,0.63,0
142,64,28.15,23,39,0.8,0
143,31,5.95,12,23,0.45,0
144,20,49.6,23,43,0.52,0
145,18,26.68,15,2,0.81,0
146,22,24.79,10,2,0.43,1
147,43,321.55,5,38,0.7,0
148,31,95.79,2,29,0.43,0
149,56,81.39,0,46,0.42,0
150,44,53.75,17,3,0.76,0
151,26,56.03,4,39,0.17,0
152,32,77.85,12,7,0.34,0
153,32,119.21,9,36,0.22,1
154,43,121.12,4,29,0.36,0
155,59,18.84,13,37,0.23,0
156,30,69.34,16,49,0.58,0
157,68,53.1,0,36,0.8,0
158,49,204.43,1,23,0.79,0
159,56,99.81,6,45,0.36,0
160,66,76.04,9,16,0.99,0
161,69,12.26,19,48,0.59,0
162,49,93.05,6,31,0.4,0
163,21,12.47,23,34,0.84,0
164,47,41.13,15,1,0.73,0
165,54,15.41,4,18,0.75,0
166,40,117.79,11,40,0.2,0
167,56,23.1,16,43,0.47,0
168,62,49.73,15,15,0.86,0
169,32,226.02,19,48,0.5,0
170,60,22.86,15,49,0.68,0
171,46,70.89,18,17,0.59,0
172,53,54.35,14,44,0.84,0
173,30,1.83,11,10,0.28,0
174,49,157.39,20,20,0.58,0
175,24,7.15,9,6,0.12,0
176,68,64.29,21,8,0.69,1
177,39,82.25,1,45,0.73,0
178,45,99.0,6,34,0.04,0
179,19,116.68,12,32,0.68,0
180,59,29.21,2,42,0.41,0
181,62,1.0,14,4,0.12,0
182,23,128.53,0,44,0.42,0
183,45,76.71,2,39,0.19,0
184,45,180.86,9,20,0.42,0
185,61,172.25,14,24,0.38,0
186,61,185.36,21,24,0.74,0
187,37,66.38,5,26,0.77,0
188,47,40.59,19,25,0.61,0
189,28,156.81,14,36,0.02,0
190,45,60.02,23,7,0.93,0
191,42,20.27,20,10,0.69,0
192,56,193.08,6,47,0.03,0
193,50,214.18,20,12,0.82,0
194,18,62.79,4,1,0.2,0
195,44,7.87,3,25,0.58,0
196,69,49.07,21,16,0.47,0
197,30,162.73,17,5,0.42,0
198,58,232.05,2,19,0.89,0
199,20,22.75,16,4,0.44,1
200,56,6.93,17,6,0.08,0
201,23,209.84,17,26,0.95,0
202,25,49.33,23,49,0.92,0
203,44,78.04,23,39,0.68,0
204,26,344.41,1,39,0.47,0
205,54,6.89,12,9,0.09,0
206,50,104.5,21,45,0.79,0
207,68,7.7,14,14,0.08,0
208,59,47.08,4,48,0.07,0
209,61,162.87,2,9,0.54,0
210,41,56.82,4,15,0.16,0
211,32,587.19,4,37,0.01,0
212,49,81.88,4,20,0.42,0
213,49,38.74,2,8,0.14,0
214,41,24.86,2,32,0.16,0
215,58,43.16,19,47,0.08,0
216,69,46.61,22,21,0.21,0
217,66,7.12,17,41,0.72,0
218,66,46.14,19,19,0.81,0
219,69,62.41,3,29,0.45,0
220,29,128.28,0,31,0.51,0
221,56,106.92,15,6,0.03,0
222,19,123.36,7,4,0.07,0
223,20,0.84,16,43,0.26,0
224,66,24.55,7,29,0.54,0
225,54,108.38,6,42,0.74,0
226,66,66.16,7,3,0.61,0
227,34,0.53,20,1,0.39,0
228,66,163.22,23,44,0.12,0
229,19,148.2,11,15,0.78,0
230,19,79.5,15,47,0.36,0
231,45,6.88,11,21,0.74,0
232,40,145.46,18,46,0.51,0
233,54,87.64,9,31,0.74,0
234,49,152.31,6,7,0.91,0
235,50,139.33,11,17,0.92,0
236,18,162.46,19,19,0.54,0
237,36,72.98,4,39,0.51,0
238,19,15.12,15,3,0.27,0
239,61,111.22,8,30,0.94,0
240,43,96.88,6,35,0.46,0
241,49,135.58,19,29,0.13,0
242,23,18.62,21,14,0.43,0
243,49,21.69,13,35,0.13,0
244,21,221.1,10,28,0.5,0
245,28,138.62,6,30,0.56,0
246,34,238.85,9,26,0.34,0
247,55,142.18,8,7,0.07,0
248,41,90.92,3,39,0.94,0
249,22,106.17,15,31,0.77,0
250,69,219.94,9,5,0.84,0
251,51,86.47,18,35,0.37,0
252,23,100.07,23,47,0.76,0
253,39,17.02,16,14,0.49,0
254,28,64.23,8,36,0.2,0
255,65,126.02,12,27,0.12,1
256,33,31.6,0,24,0.35,0
257,50,22.6,1,40,0.14,0
258,26,37.66,12,29,1.0,0
259,23,27.64,23,45,0.05,0
260,33,24.2,8,22,0.44,0
261,46,55.31,6,8,0.45,0
262,20,238.42,15,15,0.3,0
263,37,70.74,18,49,0.57,0
264,53,20.82,6,5,0.15,0
265,36,8.01,5,4,0.78,0
266,43,119.12,17,11,0.33,0
267,20,48.26,18,18,0.59,0
268,36,172.5,10,42,0.72,1
269,37,107.74,11,49,0.89,0
270,49,159.08,9,30,0.84,0
271,24,31.74,12,15,0.61,0
272,69,117.88,11,6,0.39,0
273,58,30.66,20,16,0.5,0
274,50,279.8,9,47,0.77,0
275,57,101.16,19,40,0.88,0
276,56,39.23,17,9,0.1,0
277,35,31.4,3,43,0.38,0
278,57,21.19,23,34,0.78,0
279,18,118.63,4,27,0.43,0
280,28,24.68,4,13,0.33,0
281,45,90.46,11,36,0.41,0
282,42,30.74,2,27,0.6,0
283,67,108.46,7,9,1.0,0
284,40,168.71,21,5,0.49,0
285,48,150.52,1,22,0.21,0
286,47,143.07,17,31,0.16,0
287,59,20.79,8,3,0.04,0
288,52,9.25,12,30,0.56,0
289,24,120.05,6,21,0.54,0
290,33,45.94,9,35,0.21,0
291,43,56.62,8,6,0.7,0
292,65,3.16,21,28,0.74,0
293,69,30.05,14,32,0.26,0
294,66,3.43,4,42,0.34,0
295,19,211.35,11,37,0.99,0
296,18,27.89,0,25,0.37,0
297,65,81.49,11,32,0.76,0
298,29,3.98,21,35,0.45,0
299,22,109.92,5,22,0.79,0
300,54,39.01,18,24,0.77,0
301,49,228.2,18,39,0.67,0
302,26,219.03,15,30,0.85,0
303,58,39.35,18,32,0.94,0
304,52,231.22,2,31,0.58,0
305,36,556.17,22,23,0.24,0
306,65,174.53,9,40,0.4,0
307,33,186.35,17,33,0.76,0
308,20,28.64,12,25,0.65,0
309,37,85.97,17,36,0.18,0
310,41,6.96,2,24,0.05,0
311,50,9.97,22,31,0.68,0
312,41,680.58,2,39,0.25,0
313,69,39.55,22,46,0.5,0
314,28,137.91,11,13,0.75,0
315,66,164.33,19,10,0.56,0
316,25,195.21,6,23,0.08,0
317,53,604.41,23,18,0.19,0
318,55,27.64,7,32,0.22,0
319,57,4.12,8,33,0.26,0
320,37,52.97,13,36,0.57,0
321,52,13.94,4,28,0.5,0
322,65,2.27,20,16,0.2,0
323,42,44.7,18,16,0.07,0
324,52,153.13,20,18,0.17,0
325,42,83.51,15,8,0.98,0
326,46,37.51,23,42,0.47,0
327,35,106.23,11,16,0.87,0
328,63,26.4,20,11,0.85,0
329,35,1.45,3,6,0.51,0
330,19,144.54,7,1,0.71,1
331,52,97.75,6,12,0.19,0
332,33,143.68,14,38,0.69,0
333,58,3.97,5,28,0.27,0
334,53,181.47,4,45,0.83,0
335,50,96.63,13,17,0.08,0
336,21,82.87,20,1,0.77,0
337,50,97.98,12,32,0.1,0
338,31,199.83,9,8,0.88,0
339,38,88.42,17,40,0.3,0
340,65,86.98,3,43,0.65,0
341,37,467.55,7,46,0.49,0
342,25,141.36,23,24,0.37,0
343,24,58.39,10,10,0.65,0
344,20,122.89,16,47,0.95,0
345,34,49.3,17,39,0.04,0
346,50,25.99,20,39,0.92,0
347,65,90.85,10,10,0.61,0
348,29,263.36,15,36,0.81,0
349,68,264.7,11,25,0.38,0
350,39,41.84,12,10,0.47,0
351,39,75.01,15,19,0.87,0
352,63,23.78,22,46,0.41,0
353,47,543.32,20,45,0.53,0
354,55,396.95,0,15,0.02,0
355,55,104.84,15,16,0.16,0
356,62,163.18,14,2,0.64,0
357,68,125.56,5,29,0.72,0
358,25,89.93,11,4,0.58,0
359,44,5.48,7,29,0.14,0
360,44,60.65,6,31,0.45,0
361,51,112.33,1,17,0.36,0
362,38,113.18,11,10,0.5,0
363,47,46.7,20,27,0.87,0
364,50,284.2,13,41,0.78,0
365,45,18.32,15,15,0.08,0
366,64,69.39,10,44,0.89,0
367,50,117.4,19,31,0.47,0
368,22,119.45,8,21,0.74,0
369,65,104.59,9,41,0.14,0
370,36,32.2,16,46,0.67,0
371,21,16.98,11,45,0.24,0
372,52,101.04,5,26,0.44,0
373,66,91.45,18,38,0.02,0
374,34,19.77,10,36,0.15,0
375,61,122.13,8,17,0.09,0
376,45,60.73,20,3,0.24,0
377,47,110.19,5,14,0.1,0
378,46,181.63,23,49,0.69,0
379,63,18.6,15,13,0.03,0
380,23,1.93,19,41,0.62,0
381,52,151.01,15,27,0.14,0
382,58,94.08,5,1,0.95,0
383,54,120.28,4,17,0.93,0
384,41,182.11,20,48,0.23,0
385,46,162.36,3,34,0.61,0
386,66,324.21,1,14,0.03,0
387,63,76.77,5,17,0.93,0
388,48,67.04,8,3,0.52,0
389,52,51.4,16,34,0.04,0
390,50,16.69,13,40,0.34,0
391,69,85.01,6,25,0.08,0
392,38,32.44,21,2,0.39,0
393,49,254.22,18,34,0.67,0
394,40,87.51,0,26,0.47,0
395,50,89.85,19,31,0.38,0
396,20,43.84,14,9,0.12,0
397,35,5.34,17,30,0.24,0
398,42,3.23,2,20,0.1,0
399,59,55.05,17,21,0.81,0
400,48,8.84,1,29,0.14,0
401,20,93.36,9,25,0.6,0
402,57,212.84,10,38,0.34,0
403,63,214.49,23,44,0.23,0
404,41,107.6,2,25,0.64,0
405,67,23.73,6,9,0.46,0
406,49,198.78,7,39,0.4,0
407,64,217.24,18,44,0.59,0
408,39,21.9,17,26,0.49,0
409,40,133.72,12,37,0.3,0
410,19,33.76,12,16,0.56,0
411,44,162.27,23,37,0.67,0
412,59,589.18,18,12,0.03,0
413,19,3.05,22,24,0.47,0
414,43,227.66,11,26,0.06,0
415,34,97.45,16,20,0.19,0
416,57,362.62,21,9,0.56,0
417,50,62.55,11,23,0.87,0
418,26,187.99,12,39,0.88,0
419,60,6.44,11,29,0.07,0
420,65,40.84,18,31,0.42,0
421,56,6.94,13,19,0.58,0
422,46,370.27,6,20,0.15,0
423,59,169.81,12,23,0.77,0
424,43,191.42,5,43,0.74,0
425,52,278.01,23,27,0.9,0
426,67,8.89,18,30,0.01,0
427,42,48.71,18,21,0.22,0
428,41,7.37,3,44,0.83,0
429,30,23.67,18,35,0.67,0
430,24,26.05,8,49,0.89,0
431,53,63.32,15,7,0.06,0
432,62,31.27,3,22,0.6,0
433,37,10.64,5,10,0.57,0
434,18,18.33,7,23,0.04,0
435,25,15.93,23,15,0.51,0
436,63,361.48,15,30,0.61,0
437,33,142.42,4,34,0.19,0
438,31,343.46,20,13,0.27,0
439,29,57.94,21,4,0.64,0
440,68,32.62,9,18,0.47,0
441,40,160.09,22,23,0.86,0
442,32,39.49,12,33,0.34,0
443,45,35.58,13,34,0.27,0
444,51,26.46,6,34,0.98,0
445,19,13.89,19,36,0.91,0
446,49,29.63,5,35,0.03,0
447,40,43.9,6,17,0.77,0
448,39,112.08,4,28,0.11,0
449,68,6.46,20,14,0.03,0
450,42,23.64,17,34,0.27,0
451,39,165.56,22,48,0.27,0
452,39,15.89,11,11,0.82,0
453,66,41.95,5,13,0.71,0
454,69,200.0,0,33,0.98,0
455,59,16.83,3,2,0.71,0
456,23,8.64,18,34,0.42,0
457,32,66.27,11,29,0.7,0
458,60,36.01,14,37,1.0,0
459,54,82.88,2,4,0.71,0
460,50,162.86,22,12,0.76,0
461,25,14.75,19,26,0.94,0
462,61,86.92,7,28,0.11,0
463,61,70.42,10,3,0.7,0
464,22,15.56,15,20,0.85,0
465,56,97.82,8,10,0.95,0
466,21,31.97,2,18,0.21,0
467,23,66.91,4,27,0.5,0
468,62,8.59,19,31,0.68,0
469,49,61.54,13,27,0.25,0
470,69,36.6,14,42,0.6,0
471,47,172.81,5,1,0.26,0
472,64,5.87,3,6,0.33,0
473,52,54.23,7,11,0.44,0
474,57,61.33,18,34,0.53,0
475,69,129.1,4,39,0.45,0
476,33,85.4,12,20,0.49,0
477,30,110.03,15,21,0.3,0
478,67,150.08,0,21,0.16,0
479,59,198.2,12,18,0.05,0
480,47,37.67,21,21,0.2,0
481,36,77.22,10,19,0.58,0
482,34,183.33,20,4,0.79,0
483,36,455.17,7,13,0.17,1
484,45,220.29,7,18,0.11,0
485,43,46.44,23,29,0.75,0
486,54,21.71,13,25,0.31,0
487,43,67.22,12,13,0.95,0
488,40,135.34,2,27,0.71,0
489,26,67.84,3,19,0.33,0
490,29,66.01,19,49,0.29,0
491,18,182.16,14,1,0.52,0
492,18,44.85,14,38,0.08,0
493,64,196.46,20,19,0.12,0
494,51,52.22,12,1,0.18,0
495,49,39.78,8,40,0.77,0
496,65,60.51,9,17,0.51,1
497,42,143.74,11,21,0.01,0
498,57,13.47,13,22,0.67,0
499,62,21.87,0,15,0.42,0
500,18,302.51,13,39,0.51,0
501,33,19.3,13,48,0.21,0
502,56,83.87,7,39,0.55,0
503,22,86.59,15,32,0.98,0
504,39,67.26,13,49,0.07,0
505,46,103.49,0,4,0.28,0
506,20,26.11,15,44,0.24,0
507,29,80.44,17,45,0.25,0
508,43,46.55,6,32,0.38,0
509,33,108.37,14,4,0.82,0
510,68,15.22,23,1,0.91,0
511,54,84.6,16,33,0.2,0
512,39,20.49,18,7,0.54,0
513,46,32.66,22,9,0.64,0
514,31,24.68,12,1,0.52,0
515,45,20.19,8,16,0.43,0
516,22,174.7,23,18,0.19,0
517,64,33.65,23,47,0.49,0
518,66,261.9,14,6,0.4,0
519,47,350.41,2,2,0.8,0
520,63,84.69,23,9,0.76,0
521,69,15.43,0,4,0.13,0
522,22,46.93,15,45,0.09,0
523,29,159.82,7,23,0.91,0
524,33,45.79,22,43,0.54,0
525,43,9.1,12,45,0.86,0
526,43,81.37,7,43,0.06,0
527,65,186.51,16,8,0.53,0
528,38,158.93,21,39,0.54,0
529,56,19.25,22,25,0.86,0
530,53,111.71,13,16,0.1,0
531,50,24.91,20,35,0.24,0
532,47,24.62,20,17,0.41,1
533,54,207.2,6,18,0.87,0
534,40,28.72,14,27,0.94,0
535,27,30.55,15,15,0.99,0
536,22,0.07,18,17,0.96,0
537,53,204.54,5,43,0.01,0
538,51,157.31,22,5,0.05,0
539,69,98.71,0,16,0.15,0
540,48,138.74,11,15,0.35,0
541,27,16.49,17,42,0.83,0
542,36,61.31,15,46,0.89,1
543,49,43.27,11,34,0.19,0
544,18,9.85,19,48,0.62,0
545,22,66.58,12,19,0.92,0
546,62,253.5,7,8,0.46,0
547,21,4.09,21,47,0.1,0
548,33,34.46,0,10,0.46,0
549,41,23.26,20,5,0.38,0
550,33,27.2,6,48,0.58,0
551,19,239.07,14,26,0.44,0
552,66,63.12,21,22,0.02,0
553,45,62.79,12,44,0.99,0
554,49,142.95,12,23,0.54,0
555,44,16.78,8,13,0.47,0
556,37,66.8,23,9,0.95,0
557,41,56.21,14,49,0.16,0
558,29,90.86,3,20,0.19,0
559,67,772.35,12,28,0.81,0
560,52,146.73,11,44,0.26,0
561,50,50.73,4,37,0.8,0
562,50,175.77,6,24,0.27,0
563,68,18.72,7,44,0.03,0
564,60,3.09,4,33,0.52,0
565,54,22.87,8,20,0.2,0
566,29,41.61,13,48,0.76,0
567,20,71.45,11,30,0.64,0
568,18,95.48,3,44,0.92,0
569,50,241.47,19,9,0.78,0
570,57,71.31,7,45,0.18,0
571,27,69.57,16,49,0.8,0
572,60,5.15,7,17,0.64,0
573,61,3.55,20,36,0.67,0
574,46,80.11,0,14,0.83,0
575,30,57.66,19,19,0.57,0
576,29,182.75,1,7,0.47,0
577,48,17.52,3,3,0.64,0
578,63,2.53,23,33,0.3,0
579,19,59.61,20,44,0.18,0
580,68,27.11,0,32,0.62,0
581,67,5.09,6,47,0.23,0
582,52,128.95,0,11,0.08,0
583,40,11.83,8,42,0.0,0
584,34,93.73,2,2,0.61,0
585,43,33.0,11,26,0.36,0
586,25,19.06,18,4,0.75,1
587,46,47.76,14,17,0.38,0
588,43,161.67,21,17,0.49,0
589,27,49.77,15,28,0.41,0
590,43,138.94,9,30,0.65,0
591,51,13.41,21,40,0.36,0
592,68,148.18,5,23,0.96,0
593,58,27.04,16,46,0.94,0
594,24,113.13,20,24,0.85,0
595,21,83.42,21,29,0.92,0
596,67,264.71,23,4,0.45,0
597,62,48.99,16,38,0.54,0
598,28,6.85,20,29,0.74,0
599,46,1.93,18,19,0.7,0
600,53,175.36,17,27,0.89,0
601,42,74.39,10,29,0.72,0
602,38,149.27,23,36,1.0,0
603,53,26.71,6,35,0.35,0
604,27,42.32,9,6,0.83,0
605,54,3.06,6,23,0.7,0
606,26,325.69,4,39,0.69,0
607,41,110.22,11,46,0.33,0
608,52,270.61,15,44,0.79,0
609,66,30.86,20,48,0.9,0
610,52,94.54,17,8,0.22,0
611,65,113.48,2,2,0.63,0
612,53,38.21,19,13,0.39,0
613,35,188.46,14,40,0.99,0
614,66,294.05,4,21,0.48,0
615,56,216.16,12,31,0.23,0
616,49,134.35,18,48,0.38,0
617,41,32.5,11,36,0.65,0
618,40,33.08,22,48,0.08,0
619,49,330.66,20,38,0.6,0
620,54,1.03,4,27,0.93,0
621,29,125.9,5,36,0.85,0
622,66,122.5,6,48,0.07,0
623,30,97.47,9,23,0.99,0
624,40,461.61,15,21,0.7,0
625,42,37.38,7,13,0.16,0
626,52,41.55,8,37,0.01,0
627,58,8.22,3,47,0.17,0
628,47,58.48,20,26,0.84,0
629,34,30.25,20,40,0.02,0
630,66,42.07,7,7,0.23,0
631,37,179.92,6,46,0.76,0
632,65,274.08,14,39,0.59,1
633,42,20.55,20,22,0.78,0
634,39,46.6,2,39,0.75,0
635,30,263.99,16,23,0.05,0
636,36,6.38,10,30,0.89,0
637,66,9.69,8,18,0.23,0
638,53,17.77,4,42,0.55,0
639,29,90.44,9,18,0.64,0
640,58,16.31,14,46,0.17,0
641,36,344.44,13,10,0.98,0
642,29,59.19,3,39,0.49,0
643,26,69.62,20,30,0.06,0
644,24,28.32,19,26,0.94,0
645,45,63.67,1,7,0.59,0
646,31,108.45,11,7,0.7,0
647,48,139.1,0,5,0.53,0
648,69,140.19,23,1,0.83,0
649,36,86.25,19,46,0.03,0
650,64,234.72,4,18,0.27,0
651,33,170.05,5,13,0.47,0
652,22,141.49,23,25,0.08,0
653,52,5.72,10,40,0.71,1
654,29,0.69,7,8,0.39,0
655,42,23.88,6,10,0.27,0
656,69,108.92,3,32,0.0,0
657,38,52.97,5,17,0.72,0
658,53,51.48,15,38,0.83,0
659,40,215.92,19,15,0.4,0
660,33,225.92,14,15,0.56,0
661,56,239.88,13,48,0.23,0
662,62,37.67,22,40,0.62,0
663,59,117.46,11,20,0.01,0
664,56,31.7,11,15,0.49,0
665,31,21.15,15,35,0.64,0
666,48,20.41,14,6,0.92,0
667,22,41.87,12,30,0.38,0
668,52,56.2,10,8,0.77,0
669,40,177.76,16,31,0.6,0
670,46,12.77,20,48,0.93,0
671,60,132.77,14,47,0.4,0
672,28,75.81,13,32,0.32,0
673,35,33.96,9,45,0.89,1
674,64,67.89,11,15,0.05,0
675,29,35.66,15,18,0.14,0
676,26,90.65,14,13,0.08,1
677,27,56.89,9,24,0.84,0
678,61,17.96,3,40,0.01,0
679,34,12.4,22,14,0.86,0
680,55,79.12,8,28,0.45,0
681,24,232.7,20,11,0.0,0
682,63,42.15,19,6,0.4,0
683,30,132.05,8,25,0.19,0
684,57,107.49,20,1,0.62,0
685,59,268.17,23,25,0.68,0
686,26,172.03,19,2,0.49,0
687,67,83.61,10,32,0.04,0
688,44,107.01,10,13,0.66,0
689,19,228.66,6,33,0.84,0
690,22,51.0,20,32,0.72,0
691,46,39.57,9,24,0.83,0
692,54,1.09,3,27,0.2,0
693,55,175.19,4,4,0.89,0
694,36,161.44,4,24,0.32,0
695,25,11.03,10,23,0.01,0
696,65,86.0,8,29,0.84,0
697,62,62.36,15,34,0.94,0
698,18,12.64,8,21,0.66,0
699,39,394.08,21,30,0.23,0
700,69,24.17,3,26,0.25,0
701,34,6.96,1,20,0.47,0
702,24,90.35,13,16,0.9,0
703,42,134.27,2,3,0.15,0
704,62,3.3,17,49,0.83,0
705,21,107.5,20,37,0.29,0
706,53,75.99,5,40,0.81,0
707,23,10.9,10,44,0.92,0
708,48,18.94,20,25,0.43,0
709,36,83.93,17,23,0.37,0
710,61,35.15,11,44,0.8,0
711,56,278.57,4,1,0.53,0
712,44,170.78,8,33,0.68,0
713,27,410.85,19,15,0.62,0
714,43,30.07,17,17,0.15,0
715,36,349.74,18,34,0.84,0
716,56,56.43,2,17,0.2,0
717,20,42.7,8,41,0.93,0
718,62,5.17,3,44,0.25,0
719,30,5.42,16,4,0.73,0
720,67,117.77,16,13,0.28,0
721,45,61.24,22,4,0.32,0
722,37,25.69,22,7,0.31,0
723,45,95.18,1,46,0.75,0
724,25,29.15,8,9,0.56,0
725,58,86.19,8,23,0.88,0
726,56,44.51,4,33,0.31,0
727,18,173.47,14,33,0.69,0
728,20,171.87,14,20,0.75,0
729,30,64.88,2,4,0.15,0
730,45,43.2,18,1,0.4,0
731,66,45.03,2,42,0.48,0
732,42,163.84,5,34,0.36,0
733,50,39.78,3,27,0.32,0
734,55,23.45,23,21,0.69,0
735,23,8.85,12,24,0.22,0
736,61,62.87,12,15,0.71,0
737,62,65.8,10,35,0.94,0
738,49,183.83,4,25,0.57,0
739,62,25.01,0,9,0.61,0
740,64,47.96,8,17,0.07,0
741,38,165.24,16,21,0.86,0
742,33,173.51,21,13,0.29,0
743,38,48.55,0,3,0.62,0
744,28,61.46,2,4,0.98,0
745,54,36.14,14,4,0.6,0
746,53,269.64,20,43,0.72,0
747,52,12.63,22,28,0.45,0
748,36,271.43,9,7,0.06,0
749,37,115.16,7,26,0.8,0
750,35,75.84,11,11,0.03,0
751,64,3.32,21,24,0.7,0
752,58,64.55,14,43,0.02,0
753,66,52.38,8,10,0.86,0
754,31,17.58,23,37,0.16,0
755,32,106.83,9,13,0.51,0
756,48,354.57,19,44,0.6,0
757,18,82.6,8,42,0.46,0
758,20,125.44,14,39,0.34,0
759,33,7.09,22,19,0.47,0
760,40,54.07,20,19,0.31,0
761,28,12.37,20,12,0.44,0
762,29,94.88,0,22,0.36,0
763,27,278.84,1,47,0.57,0
764,49,108.41,18,37,0.24,0
765,33,7.99,13,30,0.99,0
766,25,43.8,7,46,0.5,0
767,55,80.0,5,12,0.19,0
768,29,51.62,11,29,0.48,0
769,41,179.36,14,21,0.87,0
770,45,168.56,13,11,0.02,0
771,25,94.63,20,37,0.68,0
